order_id,user_id,product_id,category,price,quantity,order_date,region
a3cd40de-f463-4338-a03e-ed11c1ecb126,291df9e7-a561-4b83-b7f5-77e7b46f0c68,a6d8b248-bc16-45e0-800b-0442a7043b7a,Toys,211.67,4,2024-08-09,West
3c46a2b2-7f63-4c7b-94ee-94a11bf56b70,470d2862-9fb2-4de1-9d43-113dd7d6b551,28f35204-0bf5-488c-9c15-b809d8e89df8,Clothing,176.86,10,2024-05-15,East
08801bfc-4f0c-4871-9e37-9c49978106bc,8bbc2377-4f57-4cd3-be39-d647cc3b6e2c,a25c6386-ddff-4c57-addf-319c1e372b74,Clothing,419.72,3,2024-03-31,South
a7dada71-7859-4b04-b242-4bcc5a1651c0,08e30532-c4d5-4cd5-96d4-71d8bf1f75a4,b8a58578-1944-490b-b7aa-ac38ec5ff18e,Books,381.44,4,2024-07-26,South
911422f3-314e-4284-bb21-d1419a506f45,4d39268f-d73b-41d9-8049-deafd4e762a4,c8753b91-0748-4338-a442-641f190ce51f,Toys,126.55,4,2024-07-30,Central
83a58d13-ebd7-45d8-9160-94fd94cd924b,786e0285-6637-41f2-80ba-be8f32453656,8cba9ca3-7cd1-41cb-bf10-435fdf8a2f60,Beauty,433.04,3,2024-04-03,West
0d3a584d-ef08-4247-bdd0-66876af87bac,69305af3-2e17-42f3-b7bd-303f7cfdbece,38e71980-e126-414b-b6c1-aec8b07a0b07,Beauty,305.32,3,2024-11-18,South
04239aac-16ab-423f-a3bb-826b8c154a46,5416c225-aa8e-4f99-bca7-a5f20ebadf4f,93f66d14-fa75-4665-9be2-68594878cadb,Toys,244.79,7,2024-05-11,East
552d1b38-ca04-4abe-b7a4-3b35f9254ff9,1a3e3ea9-5b76-4e9d-a004-a76c4d56e4f5,5563523e-62b8-4f74-afac-b1584d1cc8a2,Toys,84.64,9,2024-10-04,West
797e53e0-0e87-4f8c-9e4f-7b82127893aa,a81a1d74-0784-4154-9557-ef7c8b048ebf,5a20fceb-f513-4a4b-8f44-4328f552e417,Beauty,226.32,9,2024-08-07,Central
b4412ec5-62ff-4bb6-94c2-b86572ad4f3b,e99c4241-28fc-4d99-b17d-d47ee7419684,c92820ac-3693-4f3f-8d68-7bad10c0fdfa,Beauty,429.26,10,2024-09-05,South
